tradeId,riskType,riskCurrency,value,marketDataId,scenarioId,valuationModel,run,errorStatus
204,IR Basis Delta,USD,683732.32;-654170.42;-950964.69;30191.91;-883103.81;306729.59;875811.75;317804.17;416075.65;-190456.19;74137.51;-776736.82;68147.08;-381933.27;880031.43;-556652.23;688599.93;964888.82;-846135.84;-753501.0;468523.17;745867.92;-74628.29;-733387.22;-259581.55;-249258.99;-908416.83;-80625.65;-858573.1;-761409.98;181729.67;-396661.94;357090.61;377630.86;920980.52;821644.02;-817904.16;-636171.07;559716.29;-410582.27;196089.01;-656347.93;601744.94;907570.13;-575285.98;686651.54;760469.72;872669.52;-855913.83;452014.06;580758.26;-410338.33;-145232.71;368903.21;695470.84;659375.22;864927.22;829975.34;-605533.06;-913780.84;-930334.61;-802291.7;466125.49;-846430.02;-504195.61;575279.02;-931561.39;-6175.45;-445534.15;-882123.74;-346590.88;-290603.5;-30459.05;-178073.25;726784.67;-47826.11;504758.82;305416.63;146238.6;712596.33;418315.95;-831455.91;435663.3;780852.63;-208745.62;272395.25;592506.29;-311359.43;747591.62;-262557.01;-100306.15;-854362.73;-811896.22;564584.35;-520628.5;-819680.91;-823874.32;694234.4;-559102.79;994181.68,5,0,BASE,EOD,
210,IR Par Delta,USD,997791.57;-474290.79;724336.2;-933259.88;-192698.54;-310306.49;526619.38;517340.07;690724.51;-919359.9;-746347.44;-436469.42;355437.02;-628584.37;393058.29;836931.11;916629.09;7589.98;202318.02;-617079.47;556830.17;-517394.4;-596204.12;-178217.86;-830606.86;-663280.45;-14667.14;-75179.67;773266.47;-78107.73;905281.84;-875236.45;526556.92;-611997.92;773731.92;788867.22;-574270.29;840027.75;-253009.08;606691.72;352431.09;492105.71;-129093.38;-148954.8;-315076.01;-41309.59;661715.72;467424.48;307603.62;-366542.63;-403752.68;-82902.11;158712.18;-684158.69;536424.51;-333947.17;-249219.5;982977.23;-586262.08;-673178.07;906562.31;651012.6;-805432.52;-624567.91;669438.29;-118049.86;-689643.23;570367.66;729689.95;-406077.45;304304.67;805920.18;364461.25;106496.99;-2998.06;664449.75;-599071.23;-220517.37;-76592.64;470868.28;73177.79;472724.6;-992259.95;-178035.95;-185982.34;299706.39;341750.21;-833349.92;-40109.48;-12205.81;732600.6;-909740.63;-694479.85;-169879.53;-213607.64;926968.14;-750776.8;929536.48;-511671.42;-161867.16,1,0,SABR,EOD,
677,IR FWD Delta,CHF,682898.68;883956.76;-130579.66;-248772.99;-10105.08;720199.31;-62295.49;-962946.03;-278821.5;840008.21;209930.05;128979.27;-599127.73;-206429.71;809366.99;-21022.86;-787078.15;940826.1;-717642.23;-8687.33;492032.37;-704882.93;-664669.17;-641358.8;-604209.86;959326.1;-266436.45;246782.7;-456517.87;-727267.37;-153165.15;291254.54;749038.72;-586531.66;-720689.34;942667.58;376112.74;-500534.8;189752.54;-966388.07;834656.73;63657.49;236941.2;524726.23;815483.17;-561420.72;-720730.5;165611.02;114944.57;-694143.5;220481.33;592629.5;408252.71;-276376.66;164633.8;-657609.68;217969.55;-669823.2;879700.68;-320179.02;387906.71;759902.91;-370545.54;851966.32;-18100.09;311939.91;-116569.59;166164.07;-739683.98;101847.54;782497.49;-125958.95;99788.13;840403.7;-118413.82;115451.37;-899936.04;-428232.31;-500647.8;-793077.78;-916904.33;-679106.41;-286804.09;-556669.15;-295498.77;187110.2;880688.38;-533327.11;-585445.48;-309641.75;-179969.02;-932373.34;326196.48;-658015.67;-945080.33;160639.38;-440883.91;-760083.06;325570.31;-307995.95,8,0,MC,EOD,
819,IR Zero Delta,EUR,-961983.65;522919.55;-54277.35;158232.54;323826.19;-952479.22;54359.37;-259711.77;261372.14;781092.94;336331.07;807488.46;438951.93;-218098.11;470876.68;-746070.74;8962.88;-401049.9;773898.92;184903.05;561464.37;953117.37;444242.87;844078.51;910533.46;-26606.66;-417991.43;436236.48;12710.45;-923259.89;630198.63;-900098.87;-848445.59;188292.12;991176.62;-990074.39;181623.93;-798390.57;374466.69;796931.83;23049.54;-823625.07;561608.49;-996149.7;-615277.92;361719.18;-771241.63;-921294.2;-335410.95;495397.03;440145.7;-953998.5;149073.33;654329.44;-800118.54;-281233.95;907258.45;-272217.31;-199782.83;86251.12;-801581.56;-331245.6;290912.43;-433922.82;457109.89;774046.58;-692877.67;385795.56;-255979.72;-988888.96;235909.21;560146.9;-303437.32;281322.91;871747.67;28925.75;-414562.24;838061.34;234463.11;153034.61;622375.29;-516031.25;-553785.68;959853.18;399930.97;-853177.84;-115222.79;481317.41;-334475.6;-730513.87;87569.23;-628364.62;-155460.07;2833.32;-546851.67;-519979.34;-359278.58;837947.69;-768780.07;-382554.21,10,0,BASE,EOD,
132,IR Basis Delta,JPY,-802579.62;-923332.2;-125516.67;823258.45;477422.06;32201.62;-367103.34;-314601.74;-966650.87;113552.93;719365.66;-74633.52;362863.6;863200.11;419156.16;-359565.97;386127.84;468602.17;203282.55;3497.49;468763.34;550992.43;-710742.33;691515.62;-707011.38;-385778.71;-332463.81;-589116.46;-211644.64;359870.38;-274206.21;46262.88;-342956.12;274518.75;203506.9;-81105.0;938524.89;903703.58;564532.12;-923061.93;-906754.79;980299.27;670986.02;557676.63;-140501.13;-972119.76;429625.12;-906829.88;867239.94;-996908.57;-521258.4;-445697.19;-217897.39;-32026.54;352647.16;56450.57;761495.06;-251536.37;-285394.64;-533524.08;284589.86;-574425.06;-767995.62;-103633.99;-795912.26;813758.9;-961266.55;-161325.66;965852.16;58812.93;844607.67;925299.92;322440.79;-40792.92;-489040.41;-794289.37;-543732.18;14838.17;387572.3;-935207.48;904477.29;-77250.18;-320299.93;617798.45;-135477.86;613404.77;-381087.44;-242135.44;-988519.78;175605.77;573066.03;-422173.2;-906789.31;190815.31;369900.43;-233026.88;-937286.03;111618.32;616464.88;-165838.85,3,0,BASE,EOD,
441,IR FWD Delta,JPY,-861678.93;834335.12;748664.68;-265702.86;-528811.65;808574.19;412731.93;-930899.02;-920950.63;196631.23;-875077.54;-167132.74;274827.75;81153.69;802390.96;990941.96;991618.57;-525826.55;929584.84;434344.44;451429.76;717994.29;571325.65;435844.27;999650.61;-439981.68;996308.05;-93781.14;541433.8;-924098.64;843951.89;-317065.24;388944.52;365952.28;-488038.55;-821362.4;-706315.96;646686.65;-769251.12;113729.49;-30827.63;-24056.88;-556411.31;956751.26;-355005.92;80511.33;-663029.29;31954.43;88122.5;178582.61;130692.18;729085.3;-141046.86;398523.92;-72879.26;-626629.19;467359.29;595799.38;-388861.94;-118233.84;699198.07;828912.58;80197.14;616590.51;-745232.82;230733.18;228962.45;-275768.58;653997.79;-385067.51;-930827.76;-524282.29;731183.18;239279.13;33818.64;-943587.25;495164.69;-812752.19;-476907.32;-455765.82;-481717.7;-851224.88;660578.31;-736923.39;574573.99;-153457.83;-219271.88;42932.66;-817930.44;-154112.75;-61434.07;-402883.93;940065.11;154276.22;864891.46;-786663.74;-486257.66;-651826.21;-492168.21;179916.88,2,0,BASE,EOD,
728,IR Basis Delta,AUD,-779063.59;-846211.53;-541517.74;452350.34;50437.67;-543375.04;-663274.64;131713.88;492829.14;-287763.62;547746.72;60504.26;-930852.06;582849.94;856431.84;-93022.08;-248823.37;-779109.05;29199.19;-204880.81;-936530.95;145249.41;30201.26;-895479.25;761034.8;337153.88;-974237.34;-117086.39;750273.69;699855.02;-605445.24;8498.73;994688.79;341130.27;-131342.97;485632.7;758915.35;-167278.06;642229.31;-87180.4;444126.55;-928850.27;-496593.89;769362.96;562904.7;-22525.25;-543628.46;-437638.59;-822045.35;-129151.35;451076.19;-116718.78;300990.07;-152366.89;412385.9;92990.38;-983099.37;-352688.95;-630081.72;779698.71;-424010.22;-491686.87;347095.36;818541.69;375408.94;128467.56;-313782.95;258740.59;-510250.77;-24372.11;-670384.98;-402701.46;-310430.69;126606.65;-367311.24;66871.54;-26402.25;463589.35;255180.26;-472219.9;-744952.87;-41691.54;-656913.16;613168.49;885672.24;-203504.78;-48282.68;-434534.12;572439.64;-757590.26;609677.94;212069.42;-984930.1;685929.35;898188.41;-503480.34;404478.28;-565165.38;-784893.91;541976.76,9,0,COPULA,EOD,
759,IR Zero Delta,EUR,347419.49;438532.48;239480.16;-989159.38;-204248.09;466.08;-358451.37;-754039.51;-789151.84;659742.61;870965.93;-389164.42;754957.93;762722.3;295180.47;938550.64;291663.29;-831969.65;441748.49;152708.97;85654.07;-632193.96;-253321.12;531998.45;-340775.32;50742.42;689926.54;324820.1;-645956.85;-863854.72;561516.94;305491.95;-307691.49;975809.39;656579.45;267846.9;-590067.58;-714193.8;-781028.0;-456776.44;412953.38;634250.36;570291.13;-841388.78;129725.82;682239.57;-731318.4;485937.2;787089.17;620874.36;242271.63;460876.45;827253.67;-869201.72;-234508.04;919502.79;-603149.07;410211.96;-544862.66;515942.0;-201987.32;482486.81;214880.06;-787349.69;-642548.24;358827.23;981508.51;508487.99;-630157.47;-109823.15;521572.9;-738806.94;559792.76;-887535.53;151283.61;-373753.4;-2356.27;-952677.97;-477430.68;-338339.76;-453775.52;-878552.17;-335339.42;236732.18;-809239.86;-783428.86;131530.62;-161823.49;618447.7;132734.07;469268.4;901798.86;479718.76;138580.54;-753080.01;-431473.48;-260052.18;-861630.79;-910755.9;484717.92,10,0,BASE,EOD,
978,IR Par Delta,CHF,-560149.98;-427461.99;478627.91;-523671.61;130633.91;-7032.77;312298.37;437632.76;885980.2;-96256.11;711884.8;-308739.21;-766332.91;-458424.0;235143.43;-974194.24;-91465.24;999488.2;-561983.6;-811840.16;826814.91;404119.26;558301.96;-930619.83;437927.72;810769.92;-309944.9;-872569.38;-654714.1;-14885.18;626553.82;451829.32;370852.83;-743920.92;-456791.23;823813.84;111367.43;-163419.9;-326358.39;63814.84;-843153.66;465980.62;-885891.56;318092.54;928834.49;629197.76;81951.92;-954130.89;-377704.51;-352497.91;-832732.8;-693876.54;-629877.86;-795396.13;661696.03;-989319.08;-928432.52;-715089.01;-764234.35;329763.95;777012.95;-307406.7;652485.62;-300578.56;-799287.0;288722.44;-292441.43;-510750.26;731479.67;902853.33;-823071.2;859553.75;769168.93;284664.67;-648079.12;-489196.62;-737405.14;680816.83;988681.42;153575.46;-861964.74;204540.24;669978.84;903002.34;377581.77;8440.75;-848620.66;831878.47;-454111.02;-190062.2;-746431.31;904485.46;-231665.16;901696.97;408056.99;831695.26;954016.79;576174.45;788518.07;-563414.6,9,0,BASE,EOD,
98,IR Par Delta,EUR,141068.18;757615.26;-152790.8;183606.19;501502.56;114006.22;-568071.99;-420811.88;-541734.69;-798244.26;-91846.34;-870637.49;43434.59;729012.94;911366.08;901796.98;503253.48;-706975.86;390105.25;-453080.25;535412.95;880405.56;875830.04;460361.03;-232064.99;-621652.37;61379.84;827315.86;444406.18;90800.6;-374466.84;381039.84;486110.54;564184.77;-884727.7;943652.35;-521167.86;-897572.71;-40633.54;328971.21;912900.91;-585695.8;-804048.37;100958.18;-64940.13;433662.12;308360.57;-840537.02;-23675.53;-26465.45;778005.58;500865.1;128002.22;-584429.61;807770.87;-889888.55;156172.52;377049.98;-26548.81;-442593.46;202637.66;-434967.86;704284.2;981424.28;-360364.29;197039.66;142472.21;129265.73;161614.31;456356.25;361096.45;-352982.07;109626.15;-607968.15;427268.57;-716355.98;693431.24;-929711.57;647588.35;147665.67;-348081.72;663830.54;-472407.65;-246134.5;-473977.11;-936705.49;335366.54;186373.62;-167640.89;986586.37;317344.31;-202077.03;-280138.66;-482326.46;876197.93;-845096.75;267643.88;260442.56;-516372.06;-217836.99,9,0,COPULA,EOD,
168,IR Basis Delta,SEK,-966079.9;-706835.17;-263494.11;918207.1;-120060.37;436729.05;-672673.17;-168316.84;-839070.69;-403045.14;389939.04;-222831.23;947560.25;-362427.81;-566220.41;750195.12;149618.69;-716263.92;-461031.31;-71937.79;419755.2;-132048.52;167084.32;-10031.76;258874.3;-867317.02;884453.87;-507873.23;736723.21;-21994.19;-7183.74;937700.18;263514.52;-547577.04;345608.38;602199.28;-723448.1;646352.98;-938654.55;-526339.27;-193239.74;-945208.05;131687.42;-23300.86;-60442.21;-365058.02;-909931.85;-847409.79;-24287.04;547031.14;-119249.05;136678.55;327141.41;102538.33;-780808.34;-708884.46;-85724.15;385685.88;519562.56;204122.98;-151447.85;527280.56;-417637.52;-893623.85;-484070.47;494799.43;-244223.73;-497485.86;-400110.35;-883405.61;663974.67;-467784.32;386178.42;-331453.13;773263.4;-86766.02;214005.03;-992744.34;143290.54;182380.8;816286.6;307709.82;-732503.84;-393343.36;-396964.99;381143.1;813180.58;-604795.11;879047.87;-843632.46;659295.4;-792279.03;918360.86;589326.73;-840106.09;-475252.7;379243.86;418877.02;-593180.34;-291039.02,9,0,BASE,EOD,
223,IR Zero Delta,CHF,-705956.31;61571.33;-597173.34;-446881.29;927134.57;-213240.03;-646160.24;639005.34;517211.81;969007.13;-279487.41;689741.29;-466729.0;-991589.62;-200383.33;867169.58;15585.24;481568.39;-315989.53;217626.23;189109.52;-23685.8;-69580.87;-204276.19;242820.66;76325.02;-35670.05;-544554.36;-777957.55;935882.72;329780.81;527812.94;265417.44;120256.81;-888867.22;-473451.73;-597773.86;139459.19;999372.49;931762.68;217938.93;170611.98;164279.54;861443.34;-375638.02;619406.69;-258545.45;-247110.87;-52336.35;660369.19;236885.81;694584.63;-347262.07;981703.94;-289389.38;603806.59;364534.93;929650.68;-376978.21;-528172.1;-235944.02;-489361.47;-832375.7;-450728.07;-323367.33;-417004.32;-858323.48;189777.61;377953.58;-406143.29;360109.39;-527302.62;668063.03;20220.7;-400171.12;675211.95;-900043.39;681579.42;830020.15;-175127.26;-71844.28;185561.07;45896.56;248127.97;-189126.57;830937.85;537202.52;-689485.7;-673672.02;-575161.02;-301904.4;-489432.21;-176549.72;389449.82;-389981.06;478243.08;715286.2;-27087.24;-137598.94;384371.51,4,0,MC,EOD,
247,IR Zero Delta,CHF,-406336.12;-789280.27;915696.28;-217524.94;201068.47;437339.88;222864.28;680387.02;-714793.06;534973.85;-157834.41;405545.55;-56345.28;180498.41;-844482.12;72148.63;491327.74;224338.11;451430.32;-748515.81;-461841.5;886002.58;-289768.01;-364533.82;-873277.37;-420299.79;-726167.96;738546.05;-959279.12;-908989.58;-720144.63;-189258.87;-164795.65;987925.7;9252.97;-132570.04;-116386.44;911463.27;320264.84;461584.8;-915967.1;-844546.92;268730.34;-767785.57;889038.54;264807.36;660760.3;378191.07;215186.74;-798569.92;95956.11;386268.13;523067.38;353474.39;79841.16;-158524.49;-655410.0;-693753.48;912146.22;-555365.33;-35646.25;306581.81;257330.64;-500155.23;-819084.04;104987.83;690483.7;-710516.13;-201179.04;-397802.1;-688765.9;-373881.44;-975894.91;-192381.05;-233648.8;-423703.08;-948143.56;847115.65;-293549.45;-319413.41;-663833.4;-602494.25;222620.4;508307.96;-991654.32;-595440.56;-358373.68;410135.17;617816.49;280659.06;222684.87;-16619.43;461517.32;-420943.2;-683277.81;895207.96;-398128.48;308785.45;532729.14;670989.4,8,0,MC,EOD,
810,IR Par Delta,EUR,-876892.77;725592.56;-207569.53;-777706.68;-840466.21;-832867.17;-94185.72;-64759.3;-228618.11;485992.88;149764.79;-291239.54;-222243.54;302543.96;870306.97;233108.57;-643742.73;-164631.32;-298671.93;-870241.67;926498.07;-1437.46;659378.47;-970246.99;125131.08;464237.04;916725.32;-870394.51;535241.91;-474955.11;-177331.82;887720.43;-332067.5;256792.3;-199292.02;96227.09;280052.36;337966.83;-480102.79;222742.83;534296.32;-40854.66;319628.45;-587101.87;729482.77;343450.36;514045.89;-758019.44;632659.43;188661.13;927592.84;-943488.91;186280.39;-381224.39;938419.57;430240.0;-544962.39;379432.04;-482092.47;959685.4;-70246.4;-112315.01;-355235.31;-298854.46;630474.64;6883.53;-13348.57;69589.16;499492.86;758449.59;-925897.38;381484.99;-381855.42;151588.3;598770.44;-875190.92;-426177.93;407593.02;-44969.37;698650.88;-852714.66;-655249.56;106975.68;-381524.99;-634274.3;-921630.29;-960931.66;105271.47;119618.58;17786.82;625488.63;401214.33;777326.96;352535.91;578217.24;-479441.35;162258.82;-274204.01;835896.55;133256.2,1,0,SABR,EOD,
