id,bookName,bookingSystem,region,cutTime,status,bookType,internalRiskControlFramework,fxTreatment,riskRelevant,pnlRelevant,description,bookOwnerId,costCenter,costCenterType,subDeskId,subdesk,subDeskType,deskId,deskCode,desk,deskRegion,deskCity,functionId,function,functionCat,segmentId,segment,areaId,area,groupId,group
19,ZING,MX,US,London,Open,NonProd,MarketRisk,Other,Valid,Valid,a making a for trading the industry outside exotic trading relative capital a of internal making ,644247,4,costCentre_B,2,QKPVZX,MarketMaking,1,NBKIKC,APAC EXOTIC FX TRADING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
20,ZTPO,LoanIQ,US,London,Closed,Prod,MarketRisk,DailySellDown,Valid,Valid,,843187,5,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
21,WTJD,Anvil,EMEA,London,Open,Prod,MarketRisk,NA,Valid,Valid,a outside outside book price internal price trading book market ,494787,5,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
22,GFYD,ION,APAC,HongKong,Open,Prod,CreditRisk,NA,Valid,Valid,trading quantititve making market industry outside exotic quantititve quantititve the trading market industry trading quantititve trading industry ,662767,5,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
23,DMYE,Calypso,APAC,NewYork,Open,Prod,CreditRisk,MonthlySellDown,NotValid,Valid,value market exotic market of price exotic outside making quantititve mammoth quantititve price price a market capital outside ,713580,5,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
24,AMUS,MX,APAC,NewYork,Closed,Prod,MarketRisk,Other,Valid,Valid,making making internal value capital price the of industry industry the quantititve for a industry ,736851,5,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
25,HAVI,MX,APAC,Tokyo,Open,Test,CreditRisk,DailySellDown,Valid,Valid,of price trading exotic market for price price industry trading for internal value trading making of outside a ,233952,6,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
26,BZSZ,MX,EMEA,Tokyo,Open,NonProd,MarketRisk,MonthlySellDown,Valid,NotValid,the market capital internal mammoth outside book exotic ,780518,6,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
27,ZKCU,MX,APAC,HongKong,Open,Prod,CreditRisk,MonthlySellDown,Valid,Valid,trading internal capital value making trading for a of making industry ,800220,6,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
28,SDJT,LoanIQ,EMEA,London,Open,Prod,NA,MonthlySellDown,Valid,Valid,trading quantititve a market ,183855,6,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
29,ORWI,MX,US,London,Open,Prod,CreditRisk,Other,NotValid,Valid,industry internal relative relative quantititve outside making relative value value the industry market a industry value ,167475,6,costCentre_C,3,YXNWFH,Strategic,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
30,XYDY,Aladdin,US,London,Open,Prod,MarketRisk,NA,Valid,Valid,capital exotic market internal the ,667132,7,costCentre_Y,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
31,VYJJ,MX,APAC,NewYork,Open,NonProd,CreditRisk,NA,Valid,Valid,for trading market market a value mammoth outside of the the book of quantititve outside market exotic ,442401,7,costCentre_Y,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
32,HDOK,Calypso,APAC,Tokyo,Open,Prod,MarketRisk,NA,NotValid,Valid,mammoth industry outside trading trading the trading quantititve quantititve outside ,596878,7,costCentre_Y,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
33,ZMQN,MySys,US,HongKong,Open,Prod,CreditRisk,DailySellDown,Valid,NotValid,internal market value industry outside mammoth industry trading quantititve exotic outside trading relative outside value trading market a exotic book ,130456,7,costCentre_Y,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
34,QALQ,MX,EMEA,NewYork,Closed,Prod,MarketRisk,DailySellDown,Valid,NotValid,internal outside a the trading book mammoth trading the market market industry ,513917,7,costCentre_Y,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
35,GJQR,MX,APAC,HongKong,Open,Prod,NA,MonthlySellDown,Valid,Valid,internal industry quantititve price for for for for book ,372961,8,costCentre_A,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
36,DZIO,Aladdin,APAC,NewYork,Open,Prod,MarketRisk,Other,Valid,NotValid,price book exotic market for book outside market internal outside ,394400,8,costCentre_A,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
37,JWQY,MX,US,HongKong,Open,Test,MarketRisk,Other,Valid,NotValid,trading industry value for relative for capital of value exotic mammoth a for exotic making of ,144676,8,costCentre_A,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
38,BXXQ,Calypso,EMEA,NewYork,Open,Prod,NA,Other,NotValid,Valid,exotic price industry relative a a exotic outside of book the internal price value price the capital ,362682,8,costCentre_A,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
39,UBIB,BBG,US,NewYork,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,mammoth book outside of price mammoth value internal of mammoth a exotic trading a ,338959,8,costCentre_A,4,SUVHHK,Misc,2,MHTHCX,LATAM FLOW ALGO HEDGING,AUS,New York,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
40,DQOE,Calypso,EMEA,HongKong,Open,Prod,MarketRisk,DailySellDown,Valid,NotValid,quantititve the value price ,134319,9,costCentre_C,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
41,EWYI,MX,US,HongKong,Open,Prod,MarketRisk,NA,Valid,Valid,mammoth outside making capital trading book capital book capital the value making the ,202890,9,costCentre_C,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
42,KWIT,MySys,US,HongKong,Open,Prod,MarketRisk,NA,Valid,Valid,of price capital industry exotic of value trading making a ,686934,9,costCentre_C,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
43,WRWQ,ION,EMEA,NewYork,Closed,Prod,NA,Other,Valid,Valid,market industry capital industry the the mammoth for trading industry internal exotic price mammoth price ,487404,9,costCentre_C,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
44,IWJB,Aladdin,EMEA,HongKong,Open,NonProd,CreditRisk,MonthlySellDown,Valid,Valid,,736543,9,costCentre_C,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
45,KVTV,Anvil,EMEA,London,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,exotic exotic for a making for outside making value internal internal exotic mammoth ,659134,10,costCentre_G,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
46,GKYL,LoanIQ,US,HongKong,Open,Prod,MarketRisk,DailySellDown,Valid,Valid,,976479,10,costCentre_G,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
47,MHRJ,MX,APAC,London,Open,Test,MarketRisk,NA,NotValid,Valid,,306438,10,costCentre_G,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
48,DVYO,LoanIQ,APAC,Tokyo,Open,Prod,CreditRisk,NA,Valid,NotValid,of market for capital value book of industry the a trading ,299409,10,costCentre_G,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
49,ACPL,Calypso,EMEA,Tokyo,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,,642559,10,costCentre_G,5,LMVQWN,RiskManagement,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
50,MBUZ,Anvil,APAC,NewYork,Open,Prod,MarketRisk,NA,Valid,Valid,the price exotic capital price price price mammoth market the a internal relative for market the for exotic industry ,470363,11,costCentre_B,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
51,KYNC,ION,EMEA,London,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,relative market of value mammoth relative for of exotic exotic mammoth trading making the book capital mammoth of exotic of ,271293,11,costCentre_B,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
52,WKPE,MX,APAC,Tokyo,Open,Prod,CreditRisk,Other,Valid,Valid,industry for price for of a trading capital outside quantititve relative making internal ,171211,11,costCentre_B,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
53,OUGC,MX,APAC,Tokyo,Open,Prod,CreditRisk,,NotValid,Valid,industry a market for a quantititve for internal book ,659123,11,costCentre_B,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
54,QKNB,MX,APAC,HongKong,Open,Prod,MarketRisk,,Valid,Valid,book the internal internal the trading a market price outside for mammoth ,766862,11,costCentre_B,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
55,YXNK,MX,US,NewYork,Open,Test,MarketRisk,NA,Valid,Valid,book industry for quantititve market a a the making the value ,293325,12,costCentre_G,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
56,KKQI,Calypso,US,Tokyo,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,mammoth the relative internal quantititve exotic ,164022,12,costCentre_G,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
57,DZLQ,MySys,US,HongKong,Open,NonProd,MarketRisk,Other,Valid,Valid,value market capital internal relative mammoth value price trading price making capital the making capital for internal market internal ,460219,12,costCentre_G,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
58,NSQE,LoanIQ,APAC,NewYork,Closed,Prod,MarketRisk,MonthlySellDown,NotValid,NotValid,for book internal trading value for ,659022,12,costCentre_G,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
59,LDTK,MX,US,NewYork,Open,Test,MarketRisk,,Valid,Valid,trading a mammoth making value mammoth a making value ,232704,12,costCentre_G,6,BAXUOV,Misc,3,KHTBYZ,SWISS FLOW FX MANAGEMENT,TK,Paris,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
60,VLAF,MX,US,NewYork,Open,Prod,MarketRisk,,Valid,Valid,for capital price internal industry the price a value the market exotic exotic mammoth industry book for ,837175,13,costCentre_A,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
61,XOOC,MX,EMEA,NewYork,Open,Prod,CreditRisk,NA,Valid,Valid,the market mammoth making internal of a relative book value quantititve for making price for trading trading book book ,289340,13,costCentre_A,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
62,XIPV,MX,EMEA,Tokyo,Open,Prod,MarketRisk,NA,Valid,Valid,quantititve outside outside book making of ,936311,13,costCentre_A,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
63,SMVV,ION,US,Tokyo,Open,Prod,MarketRisk,DailySellDown,NotValid,Valid,relative book value price ,723823,13,costCentre_A,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
64,RJMI,LoanIQ,US,Tokyo,Open,Prod,MarketRisk,Other,Valid,Valid,exotic of making for mammoth ,442685,13,costCentre_A,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
65,VZOM,Calypso,APAC,London,Closed,Prod,CreditRisk,NA,Valid,Valid,quantititve mammoth internal market the quantititve a price book outside the relative market mammoth a price ,297295,14,costCentre_G,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
66,QKIQ,Calypso,EMEA,HongKong,Open,Test,MarketRisk,MonthlySellDown,Valid,Valid,value value a making exotic making price of quantititve the trading quantititve the making ,496859,14,costCentre_G,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
67,PFZW,SwapsWire,US,NewYork,Open,Prod,CreditRisk,NA,Valid,Valid,internal for market capital trading mammoth outside value mammoth making outside trading mammoth relative mammoth internal book for the market ,350403,14,costCentre_G,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
68,UMBX,MX,US,NewYork,Open,Prod,MarketRisk,,NotValid,Valid,quantititve exotic price a of internal relative the outside ,600746,14,costCentre_G,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
69,CDTW,Anvil,APAC,HongKong,Open,Prod,MarketRisk,NA,Valid,Valid,quantititve market book outside ,820313,14,costCentre_G,7,FCLIAF,MarketMaking,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
70,MKDJ,MX,APAC,NewYork,Open,Prod,CreditRisk,MonthlySellDown,Valid,Valid,mammoth a outside quantititve a price for mammoth book making value industry price quantititve ,769734,15,costCentre_G,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
71,XXEK,Anvil,EMEA,London,Open,Prod,NA,Other,Valid,Valid,exotic market trading price a market exotic book mammoth for price quantititve book quantititve for internal a outside making relative ,653629,15,costCentre_G,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
72,BGBO,LoanIQ,EMEA,NewYork,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,,346813,15,costCentre_G,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
73,NYGC,MySys,US,Tokyo,Open,Prod,CreditRisk,DailySellDown,Valid,Valid,value outside value industry of ,718506,15,costCentre_G,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
74,DWOI,Calypso,EMEA,Tokyo,Open,Prod,MarketRisk,Other,Valid,Valid,quantititve price the capital mammoth a making making for trading internal ,488207,15,costCentre_G,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
75,LCUB,Calypso,EMEA,London,Closed,Prod,MarketRisk,MonthlySellDown,Valid,Valid,outside internal book of value internal ,525857,16,costCentre_C,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
76,CREZ,Calypso,EMEA,NewYork,Open,Prod,NA,MonthlySellDown,Valid,Valid,outside a outside a internal value mammoth relative quantititve industry price market price a price relative price value ,465808,16,costCentre_C,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
77,RTIQ,MX,US,London,Open,Prod,NA,,Valid,Valid,market trading for internal industry capital relative price book a book of trading making ,819792,16,costCentre_C,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
78,MYBD,Calypso,US,NewYork,Open,NonProd,MarketRisk,MonthlySellDown,Valid,NotValid,internal relative capital capital market the outside of market internal making capital of outside ,681292,16,costCentre_C,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
79,PCGH,MySys,EMEA,NewYork,Open,Prod,CreditRisk,DailySellDown,NotValid,Valid,relative a a exotic quantititve a ,659387,16,costCentre_C,8,BVCSJN,Hedging,4,AGJPQZ,UK FLOW ALGO STRATEGIC,AUS,Krakow,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
80,EJOC,Aladdin,US,Tokyo,Open,Prod,MarketRisk,,NotValid,Valid,quantititve outside quantititve the the ,900426,17,costCentre_A,9,UMVEBO,Strategic,5,VWQZQY,SWISS FLOW FX MANAGEMENT,UK,Tokyo,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
81,ROTY,MX,US,HongKong,Open,Prod,MarketRisk,MonthlySellDown,Valid,Valid,,907659,17,costCentre_A,9,UMVEBO,Strategic,5,VWQZQY,SWISS FLOW FX MANAGEMENT,UK,Tokyo,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
82,NRON,Calypso,US,HongKong,Open,Prod,CreditRisk,Other,NotValid,Valid,for relative market value capital of value making mammoth exotic industry ,465221,17,costCentre_A,9,UMVEBO,Strategic,5,VWQZQY,SWISS FLOW FX MANAGEMENT,UK,Tokyo,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
83,EGCH,Anvil,EMEA,HongKong,Open,Prod,CreditRisk,MonthlySellDown,Valid,Valid,capital a of making capital ,673209,17,costCentre_A,9,UMVEBO,Strategic,5,VWQZQY,SWISS FLOW FX MANAGEMENT,UK,Tokyo,1,EMEA Macro Flow,Cat,1,FxCash,1,FX,1,IB
